text,fault_category,risk_level,department
换型后站房1号线输送线状态异常，异常不是每次启动都会出现，复位后可短时运行，十分钟内再次出现同类现象。,机械故障,P2,机械维修
夜班注塑区C线码垛机漏电保护触发后状态异常，同时记录到控制柜输出不稳定，设备能动作但节拍明显变慢。,安全风险,P0,自动化工程师
1号线加工中心加热区升温变慢，复位后现场记录为：异常不是每次启动都会出现，班组记录为间歇性异常，暂未连续出现。,工艺参数异常,P2,电气维修
装配区B线冷却水系统生产中记录到巡检记录校准值有小幅漂移，润滑余量下降，复位后状态短时正常。,预防性维护,P3,设备保养
总装线辅线机器人工作站运行不顺，泵启动次数增加，现象在低速和高速段表现不同。,公辅系统故障,P0,公辅/设备维修
开机后注塑机记录到安全光栅门锁信号抖动，当前只允许低速运行，高速段会再次报警。,安全风险,P1,安全/EHS
包装区C线测试台运行小时数接近阈值，运行声音比上周略大，运行日志只保留了最近一次报警码。,预防性维护,P3,公辅/设备维修
连续运行后总装线A线灌装机状态异常，现场噪声较大，操作描述较简略，现象偶发，复位后可继续观察。,工艺参数异常,P2,工艺/设备工程师
夜班码垛机出现间歇报警E420，异常不是每次启动都会出现，当前读数接近维护阈值，生产节拍保持稳定。,耗材备件问题,P2,设备保养/备件管理
喷涂区C线空压机运行曲线异常，阀位开度变化频繁，运行日志只保留了最近一次报警码。,工艺参数异常,P1,电气维修
交接班时清洗机模具外观不良增加，运行日志只保留了最近一次报警码，另有夹持机构门锁信号抖动的现场记录。,质量关联异常,P1,工艺/设备工程师
连续运行后立体仓库出现间歇报警W439，复位后状态短时正常，只在换型后短时间出现，稳定后波动减小。,传感器故障,P2,自动化/仪表
换型后注塑机出现间歇报警A405，班组记录里缺少完整报警截图，同批次内异常次数比平时增加。,控制系统故障,P1,电气维修
现场反馈焊接机出现间歇报警S131，现场噪声较大，操作描述较简略，设备保持联锁，启动条件未满足。,控制系统故障,P0,自动化/仪表
清洗段辅线注塑机生产中记录到皮带外观破损，库存批次号和现场记录不一致，同区域另一个工位有轻微波动。,耗材备件问题,P1,设备保养
测试区出口段机器人工作站生产中记录到主轴定位后抖动，运行声音比平时尖锐，运行日志只保留了最近一次报警码。,机械故障,P2,工艺/设备工程师
中班空压机记录到接触器运行中断开，低速段读数有波动，主动作仍能完成。,电气故障,P2,电气维修
夜班包装机出现间歇报警A793，同区域另一个工位有轻微波动，当前只允许低速运行，高速段会再次报警。,耗材备件问题,P1,机械维修
